run,case,budget_bytes,validated,outcome,processing_ms,pause_ms,planned_chunks,client_written_bytes,send_succeeded_bytes,worker_received_bytes,worker_progress_sent_bytes,observed_peak_pending_bytes,max_sample_gap_ms,max_snapshot_call_ms,end_ms,final_ms,tail_ms,close_ms,close_code,close_reason,run_returned_ms,handler_returned_ms,worker_returned_ms,active_after_cleanup,reused,max_send_ms,max_write_ms,max_schedule_lag_ms,partial_count,max_partial_wait_ms,trigger_pending_bytes,received_bytes,processed_bytes,pending_bytes,run_error,worker_error
1,normal,0,True,completed,50,0,100,320000,320000,320000,320000,3200,8.456832999999733,0.4943750000002183,9900.866541,9954.783875,53.917333999999755,9954.938458,1000,,9954.967083,9954.975291,9951.467375,0,True,0.7084160000000002,0.5043329999998605,0.7393329999999878,20,54.6986250000009,,320000,320000,0,,
2,normal,32000,True,completed,50,0,100,320000,320000,320000,320000,3200,8.138582999999926,1.2399579999982961,9900.763542,9952.193709,51.43016699999862,9953.487625,1000,,9953.719917,9953.752375,9951.340125,0,True,0.09066600000005565,0.7648749999998472,0.9416250000000446,20,53.20629200000076,,320000,320000,0,,
3,pause_500ms,0,True,completed,50,500,100,320000,320000,320000,320000,16000,8.208417000000054,0.4029579999996713,9900.668416,9951.433791,50.76537499999904,9951.554291,1000,,9951.619416,9951.6285,9951.009166,0,True,0.07320900000013353,0.40904200000022684,0.7379160000000411,20,303.68216600000005,,320000,320000,0,,
4,pause_500ms,32000,True,completed,50,500,100,320000,320000,320000,320000,16000,8.03070899999966,0.5672920000001795,9900.6905,9951.400417,50.70991700000013,9951.475167,1000,,9951.543292,9951.554,9951.073667,0,True,1.033958999999868,0.31779099999994287,3.4755420000001322,20,305.291334,,320000,320000,0,,
5,slow_200ms,0,True,completed,200,0,100,320000,320000,320000,320000,137600,9.342499999999745,0.5380419999999049,9900.831833,20041.658583,10140.82675,20041.753333,1000,,20041.851292,20041.858708,20041.173125,0,True,1203.8031659999997,0.3292919999998958,0.7513330000001588,20,10141.634917,,320000,320000,0,,
6,slow_200ms,32000,True,audio_backlog_exceeded,200,0,100,60800,57600,28800,25600,35200,6.540542000000073,0.0362920000000031,,,,1801.242042,1011,audio backlog exceeded,1801.285042,1801.302875,1801.202125,0,True,0.09100000000012187,0.4357079999999769,0.8199999999999363,1,601.83775,35200,60800,25600,35200,audio backlog exceeded (35200 > 32000),rpc error: code = Canceled desc = context canceled
7,normal,0,True,completed,50,0,100,320000,320000,320000,320000,3200,6.417833000000428,0.07304199999998673,9900.789083,9951.823083,51.03399999999965,9951.939791,1000,,9951.963833,9951.969958,9951.317083,0,True,0.11133399999994253,0.8043330000000424,0.7380830000001879,20,52.66187500000001,,320000,320000,0,,
8,normal,32000,True,completed,50,0,100,320000,320000,320000,320000,3200,7.213874999999462,0.049417000000175904,9900.758083,9951.55625,50.79816699999901,9951.671291,1000,,9951.705625,9951.713458,9951.14775,0,True,0.245958000000428,0.34799999999995634,0.7668330000001333,20,52.190332999999555,,320000,320000,0,,
9,pause_500ms,0,True,completed,50,500,100,320000,320000,320000,320000,16000,8.844500000000153,0.01708299999972951,9901.099375,9952.221917,51.122542000000976,9952.337458,1000,,9952.477333,9952.4885,9951.705125,0,True,0.06375000000025466,0.29870800000026065,1.205417000000125,20,303.2344579999999,,320000,320000,0,,
10,pause_500ms,32000,True,completed,50,500,100,320000,320000,320000,320000,16000,7.613166999999976,0.03337499999997817,9901.121916,9952.166666,51.04474999999911,9952.239125,1000,,9952.336708,9952.347875,9951.725666,0,True,0.3281670000005761,1.2664169999989099,2.6975000000002183,20,305.4228750000002,,320000,320000,0,,
