record,repetition,group,round,settled,goroutines,heap_alloc,heap_objects,heap_inuse,active_sessions,open_ws,open_grpc,active_workers,active_sends
1,1,normal_control,0,False,12,888736,2310,2449408,0,0,1,0,0
1,1,normal_control,1,False,12,844808,2304,2326528,0,0,1,0,0
1,1,normal_control,2,False,12,897528,2322,2375680,0,0,1,0,0
1,1,normal_control,3,False,12,861592,2327,2342912,0,0,1,0,0
1,1,normal_control,4,False,12,899384,2328,2326528,0,0,1,0,0
1,1,normal_control,5,False,12,850208,2282,2301952,0,0,1,0,0
1,1,normal_control,6,False,12,853896,2307,2285568,0,0,1,0,0
1,1,normal_control,7,False,12,863040,2320,2293760,0,0,1,0,0
1,1,normal_control,8,False,12,859952,2333,2277376,0,0,1,0,0
1,1,normal_control,9,False,12,894304,2339,2334720,0,0,1,0,0
1,1,normal_control,10,False,12,854312,2332,2260992,0,0,1,0,0
1,1,normal_control,11,False,12,852616,2315,2244608,0,0,1,0,0
1,1,normal_control,12,False,12,863288,2353,2236416,0,0,1,0,0
1,1,normal_control,13,False,12,914160,2367,2359296,0,0,1,0,0
1,1,normal_control,14,False,12,855952,2335,2301952,0,0,1,0,0
1,1,normal_control,15,False,12,859640,2330,2310144,0,0,1,0,0
1,1,normal_control,16,False,12,872984,2347,2310144,0,0,1,0,0
1,1,normal_control,17,False,12,861792,2343,2244608,0,0,1,0,0
1,1,normal_control,18,False,12,866792,2366,2277376,0,0,1,0,0
1,1,normal_control,19,False,12,869192,2399,2277376,0,0,1,0,0
1,1,normal_control,20,False,12,875936,2414,2293760,0,0,1,0,0
1,1,normal_control,20,True,12,665408,2195,1982464,0,0,1,0,0
2,1,mixed_faults,0,False,12,955192,2569,2457600,0,0,1,0,0
2,1,mixed_faults,1,False,12,903552,2519,2383872,0,0,1,0,0
2,1,mixed_faults,2,False,12,889272,2524,2310144,0,0,1,0,0
2,1,mixed_faults,3,False,12,930912,2603,2400256,0,0,1,0,0
2,1,mixed_faults,4,False,12,930080,2530,2359296,0,0,1,0,0
2,1,mixed_faults,5,False,12,924048,2541,2351104,0,0,1,0,0
2,1,mixed_faults,6,False,12,945232,2580,2392064,0,0,1,0,0
2,1,mixed_faults,7,False,12,920264,2534,2342912,0,0,1,0,0
2,1,mixed_faults,8,False,12,899824,2577,2342912,0,0,1,0,0
2,1,mixed_faults,9,False,12,933936,2592,2375680,0,0,1,0,0
2,1,mixed_faults,10,False,12,939488,2607,2383872,0,0,1,0,0
2,1,mixed_faults,11,False,12,938432,2579,2383872,0,0,1,0,0
2,1,mixed_faults,12,False,12,902600,2596,2334720,0,0,1,0,0
2,1,mixed_faults,13,False,12,909792,2617,2326528,0,0,1,0,0
2,1,mixed_faults,14,False,12,938088,2594,2334720,0,0,1,0,0
2,1,mixed_faults,15,False,12,945608,2617,2367488,0,0,1,0,0
2,1,mixed_faults,16,False,12,947240,2625,2375680,0,0,1,0,0
2,1,mixed_faults,17,False,12,952160,2661,2383872,0,0,1,0,0
2,1,mixed_faults,18,False,12,955024,2693,2392064,0,0,1,0,0
2,1,mixed_faults,19,False,12,948128,2714,2351104,0,0,1,0,0
2,1,mixed_faults,20,False,12,964496,2685,2383872,0,0,1,0,0
2,1,mixed_faults,20,True,12,717296,2482,2039808,0,0,1,0,0
3,2,normal_control,0,False,12,1008504,2838,2555904,0,0,1,0,0
3,2,normal_control,1,False,12,944200,2686,2416640,0,0,1,0,0
3,2,normal_control,2,False,12,944480,2711,2424832,0,0,1,0,0
3,2,normal_control,3,False,12,941960,2707,2400256,0,0,1,0,0
3,2,normal_control,4,False,12,984992,2765,2424832,0,0,1,0,0
3,2,normal_control,5,False,12,944776,2704,2383872,0,0,1,0,0
3,2,normal_control,6,False,12,977312,2746,2408448,0,0,1,0,0
3,2,normal_control,7,False,12,937720,2719,2375680,0,0,1,0,0
3,2,normal_control,8,False,12,936320,2729,2400256,0,0,1,0,0
3,2,normal_control,9,False,12,936536,2749,2392064,0,0,1,0,0
3,2,normal_control,10,False,12,945088,2757,2400256,0,0,1,0,0
3,2,normal_control,11,False,12,975120,2779,2433024,0,0,1,0,0
3,2,normal_control,12,False,12,947856,2777,2408448,0,0,1,0,0
3,2,normal_control,13,False,12,982168,2799,2449408,0,0,1,0,0
3,2,normal_control,14,False,12,942320,2745,2400256,0,0,1,0,0
3,2,normal_control,15,False,12,941424,2792,2408448,0,0,1,0,0
3,2,normal_control,16,False,12,954864,2797,2392064,0,0,1,0,0
3,2,normal_control,17,False,12,953864,2773,2383872,0,0,1,0,0
3,2,normal_control,18,False,12,954120,2793,2383872,0,0,1,0,0
3,2,normal_control,19,False,12,960824,2847,2383872,0,0,1,0,0
3,2,normal_control,20,False,12,956776,2806,2375680,0,0,1,0,0
3,2,normal_control,20,True,12,742944,2581,2105344,0,0,1,0,0
4,2,mixed_faults,0,False,12,1014144,2887,2531328,0,0,1,0,0
4,2,mixed_faults,1,False,12,971936,2814,2441216,0,0,1,0,0
4,2,mixed_faults,2,False,12,1032232,2825,2523136,0,0,1,0,0
4,2,mixed_faults,3,False,12,973488,2848,2416640,0,0,1,0,0
4,2,mixed_faults,4,False,12,995080,2809,2424832,0,0,1,0,0
4,2,mixed_faults,5,False,12,1002792,2873,2441216,0,0,1,0,0
4,2,mixed_faults,6,False,12,990952,2808,2433024,0,0,1,0,0
4,2,mixed_faults,7,False,12,961344,2835,2383872,0,0,1,0,0
4,2,mixed_faults,8,False,12,967368,2839,2383872,0,0,1,0,0
4,2,mixed_faults,9,False,12,998272,2837,2457600,0,0,1,0,0
4,2,mixed_faults,10,False,12,1008560,2847,2465792,0,0,1,0,0
4,2,mixed_faults,11,False,12,1002104,2845,2457600,0,0,1,0,0
4,2,mixed_faults,12,False,12,1002616,2874,2457600,0,0,1,0,0
4,2,mixed_faults,13,False,12,1018864,2896,2473984,0,0,1,0,0
4,2,mixed_faults,14,False,12,1010936,2861,2473984,0,0,1,0,0
4,2,mixed_faults,15,False,12,970376,2850,2375680,0,0,1,0,0
4,2,mixed_faults,16,False,12,969872,2830,2392064,0,0,1,0,0
4,2,mixed_faults,17,False,12,1012872,2892,2523136,0,0,1,0,0
4,2,mixed_faults,18,False,12,964312,2838,2400256,0,0,1,0,0
4,2,mixed_faults,19,False,12,998848,2840,2424832,0,0,1,0,0
4,2,mixed_faults,20,False,12,1010232,2859,2416640,0,0,1,0,0
4,2,mixed_faults,20,True,12,759024,2653,2097152,0,0,1,0,0
5,3,normal_control,0,False,12,1024752,2919,2572288,0,0,1,0,0
5,3,normal_control,1,False,12,975576,2840,2408448,0,0,1,0,0
5,3,normal_control,2,False,12,976056,2867,2351104,0,0,1,0,0
5,3,normal_control,3,False,12,978824,2877,2383872,0,0,1,0,0
5,3,normal_control,4,False,12,970968,2856,2342912,0,0,1,0,0
5,3,normal_control,5,False,12,955800,2832,2359296,0,0,1,0,0
5,3,normal_control,6,False,12,988408,2892,2400256,0,0,1,0,0
5,3,normal_control,7,False,12,974272,2890,2408448,0,0,1,0,0
5,3,normal_control,8,False,12,972208,2864,2359296,0,0,1,0,0
5,3,normal_control,9,False,12,940752,2874,2342912,0,0,1,0,0
5,3,normal_control,10,False,12,964088,2860,2392064,0,0,1,0,0
5,3,normal_control,11,False,12,959672,2849,2359296,0,0,1,0,0
5,3,normal_control,12,False,12,968912,2869,2383872,0,0,1,0,0
5,3,normal_control,13,False,12,960696,2862,2375680,0,0,1,0,0
5,3,normal_control,14,False,12,961136,2898,2342912,0,0,1,0,0
5,3,normal_control,15,False,12,935328,2854,2334720,0,0,1,0,0
5,3,normal_control,16,False,12,973352,2879,2383872,0,0,1,0,0
5,3,normal_control,17,False,12,920056,2818,2318336,0,0,1,0,0
5,3,normal_control,18,False,12,950784,2816,2334720,0,0,1,0,0
5,3,normal_control,19,False,12,959240,2815,2334720,0,0,1,0,0
5,3,normal_control,20,False,12,960976,2860,2342912,0,0,1,0,0
5,3,normal_control,20,True,12,755888,2627,2056192,0,0,1,0,0
6,3,mixed_faults,0,False,12,1035160,2936,2564096,0,0,1,0,0
6,3,mixed_faults,1,False,12,1026704,2854,2506752,0,0,1,0,0
6,3,mixed_faults,2,False,12,1026032,2883,2482176,0,0,1,0,0
6,3,mixed_faults,3,False,12,1024160,2890,2482176,0,0,1,0,0
6,3,mixed_faults,4,False,12,970040,2835,2408448,0,0,1,0,0
6,3,mixed_faults,5,False,12,999320,2775,2441216,0,0,1,0,0
6,3,mixed_faults,6,False,12,960816,2776,2375680,0,0,1,0,0
6,3,mixed_faults,7,False,12,1001792,2803,2441216,0,0,1,0,0
6,3,mixed_faults,8,False,12,971208,2777,2433024,0,0,1,0,0
6,3,mixed_faults,9,False,12,969304,2803,2383872,0,0,1,0,0
6,3,mixed_faults,10,False,12,1000000,2830,2482176,0,0,1,0,0
6,3,mixed_faults,11,False,12,995992,2813,2490368,0,0,1,0,0
6,3,mixed_faults,12,False,12,992936,2814,2457600,0,0,1,0,0
6,3,mixed_faults,13,False,12,1006000,2810,2465792,0,0,1,0,0
6,3,mixed_faults,14,False,12,1005944,2831,2465792,0,0,1,0,0
6,3,mixed_faults,15,False,12,975016,2857,2441216,0,0,1,0,0
6,3,mixed_faults,16,False,12,957032,2802,2416640,0,0,1,0,0
6,3,mixed_faults,17,False,12,964440,2840,2392064,0,0,1,0,0
6,3,mixed_faults,18,False,12,974944,2842,2424832,0,0,1,0,0
6,3,mixed_faults,19,False,12,961696,2832,2383872,0,0,1,0,0
6,3,mixed_faults,20,False,12,1008736,2855,2506752,0,0,1,0,0
6,3,mixed_faults,20,True,12,759536,2656,2113536,0,0,1,0,0
